stanley:  this is ridiculous
phyllis:  do you have any idea what time well get out of here
michael:  nobody likes to work late, least of all me.  do you have plans tonight
jim:  nope i dont, remember when you told us not to make plans cause were working
michael:  yes i remember. mmm, this is b.s. this is b.s. why are we here? i am going to call corporate. enough is enough, im – god, im so mad!  this is michael scott, scranton, well we dont want to work. no we dont! its not fair to these people. these people are my friends and i care about them! were not going to do it!  everybody i just got off the horn with corporate and basically i told them where they could stick their little overtime assignment. go enjoy your friday
dwight:  thank you michael
michael:  all right, happy friday.  well i think we dodged a bullet there
jim:  i think you did
michael:  i think we should celebrate. how about you, pam, mi casa, a little dinner, dancing, drinks
jim:  oh, i
michael:  you said you didnt have plans. thats what you said
jim:  michael has asked pam and me to dinner at least 9 times. and every time weve been able to get out of it. but ive got to give him credit, he got me. because im starting to suspect that there was no assignment from corporate
dwight:  michael, what time should i be arriving
michael:  dwight, its couples only. and besides, i only have six wine glasses, so it will be me and jan, and pam and jim, and angela and andy
andy:  hey-o
dwight:  does it bother me that i wasnt invited to michaels dinner party?
jan:  hi
michael:  hello
jim:  hi
jan:  how are you
michael:  come on in. good to see you
jan:  chilly huh? so glad we finally got to do this with you guys. you wanna take their coats babe
michael:  yes i would. so, what have you been doing
jim:  lets see, since i saw you an hour ago
michael:  yeah
jim:  i have been getting ready and then driving over here
michael:  well we have been doing pretty much the same thing
jim:  really
michael:  except driving
pam:  we got you this.
jan:  oh well pam, thank you, this will be great to cook with
michael:  well have a seat, or come on in, or, i dont know, make yourself to home. this is our casa
pam:  its really nice
jan:  so what do you guys think, should we do the tour first or the appetizers first
jim:  tour, lets do the tour first
michael:  okay
jan:  do you have a preference babe? upstairs first
michael:  totally your call babe
jan:  alright, well, lets go then, i say upstairs
jim:  oh, you guys doing a little construction
michael:  oh, just redoing the sliding glass door
jan:  yeah, so sorry about this god-awful carpet, were still a work in progress here
michael:  well, thats
jan:  this is my office
michael:  yep, never been used
jan:  not super exciting
michael:  no
jan:  and this is my workspace
michael:  this is it, check that out, can you smell that?
pam:  uh-huh
michael:  as you can smell theres a lot of different odors going on in here
pam:  so you have an office and a workspace
jan:  i do, i cannot create in the same space i conduct business, im sure that youre the same with your doodles.  smell
jim:  its fire
jan:  uh-huh, bonfire
michael:  bond
jan:  men love this one
