michael:   there is nothing wrong, nor will there ever be wrong with any sabre printers. case closed.  michael scott, as seen on tv
todd packer:   i saw you on the news and i want to pinch your tiny wiener… its packer
michael:  oh! pack man, i thought you were a girl!
michael:  apparently, there are allegations that sabre printers can cause a fire. so they asked me to give a statement to the press. im like, what? all right. so i do it. its on tv last night. and its in the paper today. and its online. and then i call froggy 98.7, the request line. i talk to the host about it on the air. its like, come on, people, enough.
michael:  everybody, we are at defcon 5. i am officially the second-most watched clip of the day on the wbre news site
oscar:  whats number one
michael:  oh, that teacher who was wrongfully accused of being a pedophile. now, we cannot let the pedophile win again! i would like you all to go to the website and watch my clip eleven times.
jim:  so instead of working, you want…
michael:  yes.
jim:  okay
michael:  yes. come on! get it up! thats what… lets do it
angela:  oh, did you see this report that the zoo got a baby otter? its on the same site!
phyllis:  awww, its kissing its mommy
michael:  please.
dwight:  michael, you have to see, this is like, the cutest thing ever.
michael:  really? a baby otter? okay, um, count me in as who cares. its not even that interesting a baby otter, it cant even stand up.  its trying to stand up…  there it goes.
jo:  howdy. i hope im not interrupting anything
michael:  jo! we were not expecting you
jo:  ‘course you all, no doubt, know why im here
kevin:  no
jo:  turns out our printers are famous. theyre all over the news. its an interesting story. cheap foreign printers attacking innocent americans. well, actually the, the real story isnt quite as racy, but uh… lets give it a go
kevin:  jo, i think that i know what happened
jo:  im not sure you do, teddy bear
kevin:  well, now i think i might not
jo:  not long ago, we discovered a defect in one of our printers, so we got a software patch and fixed it right up, just like that. i dont know how it works. but just as we were about to send out a letter to our affected customers, giving em free toner, and we keep em, happy, but somebody here, they liked that first story better. the one where we lose half our clients for no damn good reason! whoever it was who talked to the press, they should come forward, please
michael:  jo, jo, i can assure you it was no one in this office
jo:  can you now?
michael:  absolutely. anyone who talked to the press, please raise your hand
phyllis:   put your hand up, norma rae.
andy:  if you say anything, so help me god, ill break off the temples of your glasses and stick them in your eye sockets.
andy:  so unfair. even if i thought that our printers killed baby seals, i would not be a whistleblower. the bernards, for generations, have silenced whistleblowers. its how we made all our money. woody guthrie wrote a song about us.  old mr. bernard, old mr. bernard, who have you silenced today?
jo:   its a little form, says “i did not do it.”
michael:  there is no reason for anyone here to sign this, because i know everything there is to know about these people. i know when their birthdays are, i know what their favorite kind of cake is, i know what color streamers they like…
jo:  all thats just birthday information, michael
michael:  yes, yes, but it shows a bigger picture
jo:  why dont you come with me? well start out with the honcho, whatcha say
michael:  okay.
jo:  when mama was working as a prison guard and something went missing, shed ask one question: what do we do when we find the guilty party? and if they said, “come down on him with that swift hammer of justice!”, innocent. a clear conscience dont need no mercy. but if they said “officer bessie, well they may have had a reason, blah blah blah blah”, well nine times out of ten, thats the anus theyd check.
jo:  so say we catch this whistleblower, what do you think i should do with him
michael:  we should give him a one-way ticket to montego bay, where they keep all the al-qaeda.
jo:  uh, thats, uh, guantanamo bay
michael:  yes. you put them in jail for a long time, you put them in jail for as long as you can.
jo:  well, i guess were all right, michael
michael:  i want these people to really pay, i want them to suffer. id prefer it if they died, cause its not right
jo:  yeah
michael:  okay.
nick:  hey dwight
dwight:  hey, it guy
nick:  mind if i get in there for a second
dwight:  oh, sure thing, go ahead.
nick:  just one…  gah! ah! dwight, what the hell
dwight:  apache persuasion hold, thats the hell! what are you doing to my computer
oscar:  the lawyers are searching our hard drives for information on the leak. thanks a lot, big brother
dwight:  youre with big brother? okay, go ahead. i got nothing to hide
kevin:  wait, are they searching all our computers
nick:  yeah.  i already got to yours, kevin.
kevin:  no, thats cool. sometimes… sometimes i run. im a runner.
angela:  everybody knows it was andy, and it is not fair for us all to take the fall for his big stupid mouth
michael:  ridiculous, angela. and like im going to believe one of his spermed lovers
phyllis:  look, hes been complaining about this for a while, its not crazy.
jo:  okay dwight
dwight:  hold that thought. i dont want to waste your time, and i wouldnt dare waste mine. i didnt do it. now, i dont know exactly who did it, but i have a list right here…  you should fire the following people
jo:  well, im inclined to believe you
dwight:  why would i disparage a company that has made me rich beyond my wildest dreams?
jo:  yeah, i noticed youve had a great year. good boy… you turning that money into more money
dwight:  are you referring to alchemy?
jo:  i dont like to tell a man what to do with his money, but if you aint investing in property, then youre dumber than a dummy
dwight:  im not dumb. im smart
jo:  well, buy property. thats my advice.
michael:  is there something that you would like to say to me
andy:  uh
michael:  about talking to the press
andy:  i, i didnt know. i didnt do that!
michael:  mmhmm
andy:  okay? i, i… didnt do it
michael:  i dont believe you
andy:  i swear on the graves of my parents who arent even dead yet
michael:  thats a little much. all right, all right, all right
andy:  i dont care, thats how much i swear
michael:  okay, i believe you, i believe you.
andy:  i dont know whos giving darryl any crap. he was more bothered about it than me.
michael:  did you tell anyone outside of this office that the printers were catching on fire
darryl:  yeah, i did. i, i was talking to this girl at a bar
michael:  oh, no, no, no
darryl:  i think she could… sense my sadness, and i, and i found out too late that she… shes the copy editor at the trib
michael:  oh my god. was she cute
darryl:  no
michael:  oh, god, darryl!
michael:  i basically swore up and down that none of my employees did it, and then i find out that one of my best ones did. and now hes probably going to get fired for it. and if that is not poetic justice, i dont know what is.
jo:  sounds like you were as blindsided by this as i was.
toby:  well, thats
jo:  and we didnt find anything on your computer
toby:  good
jo:  except this.
toby:  oh, wow, this is, uh, just a mystery novel that ive been working on
jo:  i know what it is. i skimmed the first chapter. im just curious, why would a man who hates people want to have a relationship with a maid
toby:  oh, uh, i dont know, uh
jo:  the way i look at it, theres only one of two reasons. he knows a secret about her that she doesnt know herself, or he wants to use her services to mop up after a murder
toby:  oh… yes.
toby:  write your own damn novel.
pam:  it was me
jim:  what was you? you were the leak
pam:  okay. im talking to this woman at daycare
jim:  uh-huh
pam:  shes telling me about all her amazing trip to vietnam, i have nothing. i tell her our printers catch on fire, spontaneously
jim:  whyd you do that
pam:  her husbands a reporter
jim:  yeah.
pam:  so now everyone hates andy, and its this whole mess, and i dont know what to do
jim:  okay, just relax. just need to relax
pam:  i could tell jo… or i could tell michael
jim:  this is a very good idea. this is good. lets get all the bad ideas out now. flush them out.
michael:  you leaked it
pam:  i dont know what to do! do i go tell jo, or – i dont want everyone to keep blaming the wrong person
michael:  i dont know what the best plan is, pam. oh god… my mind is going a mile an hour.
pam:  that fast
michael:  oh.
